frc_time	Pair	Uwind	Vwind	Tair	Qair	rain	swrad	cloud	SST
6.208333492	1008	-2.259161472	-0.810054958	27.60000038	80	0	0	0	29
6.25	1008.200012	-1.440949082	-2.968781948	27.29999924	82	0	2.777777672	0	29
6.291666508	1008.5	-0.129016906	-1.995834351	27.79999924	80	0	38.88888931	0.06666667	29
6.333333492	1009	-1.30995369	-2.698892593	29.29999924	73	0	197.222229	0.13333334	29
6.375	1009.400024	-2.753184557	-2.471836329	30.70000076	67	0	427.777771	0.200000003	29
6.416666508	1009.599976	-3.200478792	-1.147577882	31.39999962	62	0	627.777771	0.300000012	29
6.458333492	1009.599976	-3.765269279	-1.350091577	32.40000153	59	0	830.555542	0.400000006	29
6.5	1009.200012	-2.753184557	-2.471836329	33.09999847	60	0	797.222229	0.5	29
6.541666508	1008.599976	-4.424191475	-1.586357594	33.70000076	56	0	880.555542	0.600000024	29
6.583333492	1008.5	-4.241392612	-3.807964087	32.70000076	62	0	658.333313	0.699999988	29
6.625	1008.400024	-5.836167336	-2.092642069	31.70000076	65	0	588.888916	0.800000012	29
6.666666508	1008.099976	-5.742035866	-2.058889627	31.5	66	0	555.555542	0.633333325	29
6.708333492	1008.299988	-6.212694168	-2.227651119	31	65	0	386.1111145	0.466666669	29
6.75	1008.299988	-3.86934042	-3.473932028	30.60000038	68	0	75	0.300000012	29
6.791666508	1008.599976	-3.720519781	-3.340319395	29.70000076	69	0	63.88888931	0.233333334	29
6.833333492	1009.200012	-3.720519781	-3.340319395	29.20000076	68	0	8.333333015	0.166666672	29
6.875	1009.799988	-3.646109343	-3.27351284	29.10000038	73	0	0	0.100000001	29
6.916666508	1010.299988	-3.050826073	-2.739061832	29	74	0	0	0.083333336	29
6.958333492	1010.5	-2.52995348	-2.271417141	28.79999924	75	0	0	0.06666667	29
7	1010.599976	-3.348467827	-3.006287336	28.79999924	74	0	0	0.050000001	29
7.041666508	1010.299988	-1.785849452	-1.603353262	28.60000038	76	0	0	0.033333335	29
7.083333492	1009.700012	-2.381132603	-2.13780427	28.5	78	0	0	0.016666668	29
7.125	1008.900024	-2.381132603	-2.13780427	28.39999962	80	0	0	0	29
7.166666508	1008.5	-2.902005434	-2.605448961	28.39999962	79	0	0	0.13333334	29
7.208333492	1008.5	-1.397283912	-2.87881875	28.10000038	81	0	0	0.266666681	29
7.25	1008.700012	-0.87330246	-1.799261689	27.89999962	82	0	2.777777672	0.400000006	29
7.291666508	1009.200012	-0.960632682	-1.979187965	28.20000076	81	0	36.11111069	0.533333361	29
7.333333492	1009.5	-3.348467827	-3.006287336	29.39999962	76	0	169.4444427	0.666666687	29
7.375	1009.599976	-2.357916594	-4.858006477	30.29999924	72	0	333.3333435	0.800000012	29
7.416666508	1009.5	-5.134317398	-4.609640598	31	68	0	458.3333435	0.800000012	29
7.458333492	1009.599976	-3.14388895	-6.477342129	31.89999962	63	0	669.444458	0.800000012	29
7.5	1009.599976	-4.911086082	-4.409221649	32.40000153	63	0	722.222229	0.800000012	29
7.541666508	1009.099976	-5.357548237	-4.810060024	32.29999924	63	0	730.555542	0.733333349	29
7.583333492	1008.299988	-5.357548237	-4.810060024	33.09999847	56	0	916.666687	0.666666687	29
7.625	1007.5	-3.274884224	-6.747231483	33.20000076	57	0	883.333313	0.600000024	29
7.666666508	1007.5	-5.357548237	-4.810060024	32.70000076	60	0	644.444458	0.5	29
7.708333492	1007.5	-5.878421307	-5.277704716	31.60000038	63	0	486.1111145	0.400000006	29
7.75	1007.599976	-4.687854767	-4.208802223	31.10000038	66	0	275	0.300000012	29
7.791666508	1007.799988	-5.134317398	-4.609640598	30.10000038	72	0	63.88888931	0.266666681	29
7.833333492	1008.200012	-3.86934042	-3.473932028	29.79999924	74	0	8.333333015	0.233333334	29
7.875	1008.799988	-2.095925808	-4.318228245	29.20000076	77	0	0	0.200000003	29
7.916666508	1009.400024	-3.348467827	-3.006287336	29.29999924	77	0	0	0.183333337	29
7.958333492	1009.400024	-3.497288465	-3.139900208	29.39999962	76	0	0	0.166666672	29
8	1009	-3.348467827	-3.006287336	29.29999924	78	0	0	0.150000006	29
8.041666985	1008.200012	-3.050826073	-2.739061832	28.79999924	80	0	0	0.13333334	29
