Title=free-surface from YAEYAMA2 Test Case					
					
"Legend=(eta_rho, xi_rho) = (23.9666, 123.603)"					
ocean_time (seconds since 2000-01-01 00:00:00)	zeta (meter)				
593863168	1.224534
593866816	1.235736
593870400	1.044942
593873984	0.694538
593877632	0.265756
593881216	-0.14648
593884800	-0.45501
593888384	-0.5726	
593891968	-0.47516
593895616	-0.19094
593899200	0.202058
593902784	0.592445
593906432	0.899976
593910016	1.063213
593913600	1.044158
593917184	0.85225	
593920768	0.556955
593924416	0.238052
593928000	-0.01558
593931584	-0.12381
593935232	-0.05331
593938816	0.175343
593942400	0.501516
593945984	0.835884
593949568	1.093567
593953216	1.203777
593956800	1.127369
593960384	0.873035
593964032	0.493893
593967616	0.068473
593971200	-0.30814
593974784	-0.53794
593978368	-0.57778
593982016	-0.42653
593985600	-0.12002
593989184	0.248545
593992832	0.596276
593996416	0.850515
594000000	0.956512
594003584	0.901368
594007168	0.711833
594010816	0.445121
594014400	0.181597
594017984	-0.00238
594021632	-0.03828
594025216	0.086379
594028800	0.344345
594032384	0.663055
594035968	0.942484
594039616	1.12679	
594043200	1.173292
594046784	1.037633
594050432	0.756792
594054016	0.384059
594057600	-0.00804
594061184	-0.32607
594064768	-0.49921
594068416	-0.48449
594072000	-0.29781
594075584	0.005026
594079232	0.346822
594082816	0.64852	
594086400	0.848553
594089984	0.915227
594093568	0.846979
594097216	0.677479
594100800	0.452827
594104384	0.250462
594108032	0.135867
594111616	0.148487
594115200	0.289142
594118784	0.520928
594122368	0.773407
594126016	0.982424
594129600	1.095704
594133184	1.087247
594136832	0.931882
594140416	0.663143
594144000	0.32046	
594147584	-0.02014
594151168	-0.28080
594154816	-0.40906
594158400	-0.38253
594161984	-0.22029
594165632	0.033723
594169216	0.315599
594172800	0.566284
594176384	0.736286
594179968	0.802794
594183616	0.758012
594187200	0.625378
594190784	0.453766
594194432	0.300453
594198016	0.225169
594201600	0.256666
594205184	0.385397
594208768	0.579765
594212416	0.791064
594216000	0.952562
594219584	1.028869
594223232	1.00017	
